UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
6,89,61570,78505,F,4,"2016-03-29 18:27:20",10
2,109,9546,9546,T,3,"2016-03-29 18:27:25",28
2,98,7222,7222,T,2,"2016-03-29 18:27:33",29
1,74,20170,20170,T,true,"2016-03-29 18:27:35",32
2,26,4491,4491,T,5,"2016-03-29 18:27:38",30
2,3,5449,5449,F,flase,"2016-03-29 18:27:43",31
6,53,26087,26087,F,3,"2016-03-29 18:27:47",11
2,91,9214,9214,F,2,"2016-03-29 18:27:53",32
1,41,18407,18407,T,21,"2016-03-29 18:27:54",33
1,71,17336,17336,F,"1 2","2016-03-29 18:28:11",34
6,23,24866,24866,F,"2 4","2016-03-29 18:28:12",12
2,76,18904,18904,F,true,"2016-03-29 18:28:12",33
3,124,62400,65252,F,4,"2016-03-29 18:28:17",12
1,99,8962,8962,T,1,"2016-03-29 18:28:21",35
4,112,50014,50014,F,"9 3","2016-03-29 18:28:28",22
1,29,10564,10564,T,5,"2016-03-29 18:28:32",36
2,14,20331,20331,T,"3 5","2016-03-29 18:28:33",34
3,4,25150,25150,F,false,"2016-03-29 18:28:42",13
4,115,15815,15815,F,"1 1","2016-03-29 18:28:44",23
1,92,16897,16897,F,zxcvb,"2016-03-29 18:28:49",37
6,123,38007,38007,F,6,"2016-03-29 18:28:50",13
4,59,18603,18603,T,true,"2016-03-29 18:29:03",24
2,51,43044,43044,F,4,"2016-03-29 18:29:16",35
4,12,15377,15377,F,false,"2016-03-29 18:29:19",25
1,111,31071,31071,F,"5 1","2016-03-29 18:29:20",38
6,76,31071,31071,F,true,"2016-03-29 18:29:22",14
4,44,27319,27319,F,"not sure","2016-03-29 18:29:46",26
1,31,32587,32587,F,5,"2016-03-29 18:29:53",39
1,11,13776,13776,T,true,"2016-03-29 18:30:07",40
3,69,89128,89128,F,"4 1","2016-03-29 18:30:12",14
1,54,16964,16964,T,1,"2016-03-29 18:30:25",41
4,24,39831,39831,F,"5 1-v2","2016-03-29 18:30:27",27
6,117,63453,69649,T,4,"2016-03-29 18:30:32",15
1,115,8155,8155,F,1.99,"2016-03-29 18:30:33",42
4,1,15100,15100,F,true,"2016-03-29 18:30:42",28
2,86,63353,68664,T,"4 0","2016-03-29 18:30:48",37
3,116,37832,37832,T,2,"2016-03-29 18:30:50",15
6,35,34857,34857,F,"1 2","2016-03-29 18:31:07",16
1,14,40230,40230,F,"2 5","2016-03-29 18:31:14",43
4,123,35140,35140,T,3,"2016-03-29 18:31:18",29
1,24,17258,17258,F,"5 4","2016-03-29 18:31:31",44
4,54,18435,18435,T,1,"2016-03-29 18:31:36",30
3,45,50548,50548,F,"5 3 8 6","2016-03-29 18:31:41",16
6,64,35659,35659,F,4,"2016-03-29 18:31:43",17
2,118,67426,67426,T,4,"2016-03-29 18:31:56",38
1,61,31554,31554,F,"1 2 1 2","2016-03-29 18:32:03",45
6,10,23744,23744,F,false,"2016-03-29 18:32:07",18
4,84,33814,33814,F,"1 11 0","2016-03-29 18:32:10",31
2,55,21182,21182,T,true,"2016-03-29 18:32:18",39
1,77,14611,14611,F,"0 9","2016-03-29 18:32:18",46
6,60,15247,15247,T,true,"2016-03-29 18:32:23",19
1,6,14835,14835,F,false,"2016-03-29 18:32:34",47
4,71,29969,29969,T,"2 1","2016-03-29 18:32:41",32
2,43,26193,26193,F,24,"2016-03-29 18:32:44",40
1,98,12264,12264,T,2,"2016-03-29 18:32:46",48
3,64,65248,65248,F,"6 7","2016-03-29 18:32:47",17
6,69,26641,26641,F,"4 1","2016-03-29 18:32:50",20
1,104,6302,6302,T,g,"2016-03-29 18:32:53",49
3,105,10558,10558,F,13,"2016-03-29 18:32:58",18
1,123,15738,15738,F,6,"2016-03-29 18:33:09",50
2,110,27936,27936,T,3,"2016-03-29 18:33:13",41
4,66,31678,31678,F,"4 8","2016-03-29 18:33:13",33
3,98,20064,20064,T,2,"2016-03-29 18:33:18",19
6,94,29035,29035,F,asdfg[2],"2016-03-29 18:33:19",21
1,72,17832,17832,T,"2 1","2016-03-29 18:33:27",51
4,78,23186,23186,F,"0 7","2016-03-29 18:33:37",34
6,109,19292,19292,F,2,"2016-03-29 18:33:39",22
1,36,19582,19582,T,"5 5","2016-03-29 18:33:47",52
2,63,38638,38638,F,42,"2016-03-29 18:33:52",42
6,6,18294,18294,F,false,"2016-03-29 18:33:57",23
3,17,40239,40239,F,"true 2","2016-03-29 18:33:59",20
1,109,18166,18166,T,3,"2016-03-29 18:34:05",53
2,122,15072,15072,F,2,"2016-03-29 18:34:07",43
2,4,15884,15884,T,true,"2016-03-29 18:34:23",44
3,22,27152,27152,T,"true 1","2016-03-29 18:34:26",21
1,55,20769,20769,T,true,"2016-03-29 18:34:27",54
4,89,57838,57838,F,5,"2016-03-29 18:34:35",35
1,79,17321,17321,F,"1 5","2016-03-29 18:34:44",55
2,19,22499,22499,T,"3 1","2016-03-29 18:34:46",45
2,33,17507,17507,F,10,"2016-03-29 18:35:04",46
1,48,24431,24431,F,2,"2016-03-29 18:35:09",56
4,99,43253,43253,F,3,"2016-03-29 18:35:19",36
3,11,52461,52461,F,false,"2016-03-29 18:35:19",22
2,70,18707,18707,T,"4 5","2016-03-29 18:35:23",47
1,13,21072,21072,T,"3 5+","2016-03-29 18:35:30",57
2,93,17833,17833,F,3,"2016-03-29 18:35:41",48
6,88,63200,110221,F,8,"2016-03-29 18:35:48",24
2,73,10959,10959,F,flase,"2016-03-29 18:35:53",49
4,111,38989,38989,F,"7 3","2016-03-29 18:35:58",37
2,99,13487,13487,T,1,"2016-03-29 18:36:07",50
6,21,19147,19147,F,true,"2016-03-29 18:36:08",25
3,33,48480,48480,F,10,"2016-03-29 18:36:08",23
4,42,12655,12655,T,21,"2016-03-29 18:36:11",38
1,90,43108,43108,T,4,"2016-03-29 18:36:14",58
1,38,14112,14112,T,126,"2016-03-29 18:36:28",59
4,116,21096,21096,F,3,"2016-03-29 18:36:33",39
1,8,5240,5240,T,6,"2016-03-29 18:36:34",60
2,106,35197,35197,F,w,"2016-03-29 18:36:42",51
1,30,7614,7614,T,9,"2016-03-29 18:36:42",61
6,81,36454,36454,F,"2 6","2016-03-29 18:36:44",26
4,92,16930,16930,F,v,"2016-03-29 18:36:50",40
2,115,11241,11241,T,1,"2016-03-29 18:36:54",52
6,105,16778,16778,F,13,"2016-03-29 18:37:01",27
4,18,18336,18336,F,true,"2016-03-29 18:37:09",41
1,65,35483,35483,F,"3 24","2016-03-29 18:37:18",62
3,57,79715,79715,T,false,"2016-03-29 18:37:28",24
4,6,19399,19399,F,false,"2016-03-29 18:37:29",42
1,116,13216,13216,F,2.9,"2016-03-29 18:37:32",63
2,80,46027,46027,T,"6 8","2016-03-29 18:37:40",53
4,124,15614,15614,F,4,"2016-03-29 18:37:44",43
1,91,15238,15238,F,qwert,"2016-03-29 18:37:48",64
6,77,46249,46249,F,"2 7","2016-03-29 18:37:48",28
6,27,10042,10042,T,4,"2016-03-29 18:37:58",29
1,68,17924,17924,F,abcdef,"2016-03-29 18:38:06",65
4,47,30182,30182,F,2,"2016-03-29 18:38:15",44
1,124,12969,12969,F,4,"2016-03-29 18:38:19",66
